sample_id,gsm_id,treatment,product_type,donor,well,cell_type,library_layout
SRR37298734,GSM9533357,PG/VG Control (40/60),control,donor4,2,HBEC,PAIRED
SRR37298735,GSM9533356,PG/VG Control (40/60),control,donor4,1,HBEC,PAIRED
SRR37298736,GSM9533355,PG/VG Control (40/60),control,donor3,2,HBEC,PAIRED
SRR37298737,GSM9533354,PG/VG Control (40/60),control,donor3,1,HBEC,PAIRED
SRR37298738,GSM9533353,PG/VG Control (40/60),control,donor2,2,HBEC,PAIRED
SRR37298739,GSM9533352,PG/VG Control (40/60),control,donor2,1,HBEC,PAIRED
SRR37298740,GSM9533351,PG/VG Control (40/60),control,donor1,2,HBEC,PAIRED
SRR37298741,GSM9533350,PG/VG Control (40/60),control,donor1,1,HBEC,PAIRED
SRR37298742,GSM9533349,Serene Tree Juice Green Apple,juice,donor4,2,HBEC,PAIRED
SRR37298743,GSM9533348,Serene Tree Juice Green Apple,juice,donor4,1,HBEC,PAIRED
SRR37298744,GSM9533347,Serene Tree Juice Green Apple,juice,donor3,2,HBEC,PAIRED
SRR37298745,GSM9533346,Serene Tree Juice Green Apple,juice,donor3,1,HBEC,PAIRED
SRR37298746,GSM9533345,Serene Tree Juice Green Apple,juice,donor2,2,HBEC,PAIRED
SRR37298747,GSM9533344,Serene Tree Juice Green Apple,juice,donor2,1,HBEC,PAIRED
SRR37298748,GSM9533343,Serene Tree Juice Green Apple,juice,donor1,2,HBEC,PAIRED
SRR37298749,GSM9533342,Serene Tree Juice Green Apple,juice,donor1,1,HBEC,PAIRED
SRR37298750,GSM9533341,Serene Tree Juice Strawberry,juice,donor4,2,HBEC,PAIRED
SRR37298751,GSM9533340,Serene Tree Juice Strawberry,juice,donor4,1,HBEC,PAIRED
SRR37298752,GSM9533339,Serene Tree Juice Strawberry,juice,donor3,2,HBEC,PAIRED
SRR37298753,GSM9533338,Serene Tree Juice Strawberry,juice,donor3,1,HBEC,PAIRED
SRR37298754,GSM9533337,Serene Tree Juice Strawberry,juice,donor2,2,HBEC,PAIRED
SRR37298755,GSM9533336,Serene Tree Juice Strawberry,juice,donor2,1,HBEC,PAIRED
SRR37298756,GSM9533335,Serene Tree Juice Strawberry,juice,donor1,2,HBEC,PAIRED
SRR37298757,GSM9533334,Serene Tree Juice Strawberry,juice,donor1,1,HBEC,PAIRED
SRR37298758,GSM9533333,Stiizy Disposable Skywalker OG,disposable,donor4,2,HBEC,PAIRED
